,batter_id,height,weight,age
123,608700,74,210,27
124,545350,76,220,27
125,545341,73,205,27
126,624577,74,240,27
127,543590,75,225,31
128,457727,75,215,31
129,452234,75,210,36
130,542455,72,225,27
131,477165,74,250,32
132,572761,75,205,32
133,572191,76,212,27
134,516782,73,190,29
135,640461,74,195,26
136,519237,74,260,30
137,570256,77,235,27
138,621566,77,230,24
139,640449,73,190,24
140,518735,73,235,29
141,451713,77,260,31
142,542921,73,205,28
143,453943,75,220,32
144,518618,72,205,29
145,458015,74,220,35
146,467793,71,210,32
147,453064,75,205,33
148,594988,72,228,28
149,594807,73,215,30
150,453568,75,210,32
151,571431,75,245,30
152,572128,75,230,27
153,452239,76,225,34
154,596059,71,195,24
155,425834,75,185,34
156,595885,76,220,25
157,431145,70,205,35
158,429667,76,250,38
159,596115,73,210,25
160,656305,72,210,25
161,596103,74,197,25
162,453211,76,205,34
163,592609,74,210,30
164,434604,77,245,36
165,519222,73,220,29
166,425783,71,210,36
167,461416,75,205,35
168,596146,76,205,25
169,516770,74,230,28
170,546318,71,205,26
171,592273,74,210,26
172,455117,72,230,32
173,592192,74,210,29
174,643603,71,225,27
175,518466,77,235,29
176,571761,73,205,28
177,592122,74,220,27
178,150212,74,220,39
179,660162,74,205,23
180,543434,72,210,28
181,458675,74,195,32
182,502317,73,220,33
183,527043,73,220,27
184,594694,71,200,26
185,501647,71,220,29
186,506747,74,230,28
187,543228,74,215,31
188,656555,76,225,25
189,607387,74,205,28
190,466320,70,210,34
191,571771,71,200,27
192,456715,74,205,32
193,446481,72,200,33
194,543105,75,235,28
195,430605,72,185,37
196,596748,73,215,26
197,517369,72,220,28
198,598265,70,200,28
199,460026,72,203,35
200,573131,75,250,32
201,519208,77,240,33
202,430001,72,210,36
203,607208,74,185,25
204,452104,74,215,34
205,592836,76,235,26
206,500874,78,215,30
207,592621,72,205,29
208,446334,73,215,32
209,553993,71,213,27
210,518792,77,240,29
211,592663,73,210,27
212,605141,69,180,26
213,517370,75,200,29
214,544925,74,210,31
215,605131,70,190,28
216,518934,76,215,30
217,136860,73,215,41
218,516416,70,205,28
219,649557,73,195,28
220,449181,74,215,32
221,457803,75,225,31
222,542340,73,215,27
223,488810,71,215,32
224,450317,73,210,32
225,519390,72,225,33
226,572114,69,180,30
227,519346,72,210,31
228,425509,74,225,36
229,523253,73,205,31
230,543038,74,205,31
231,460086,73,225,34
232,546991,74,190,24
233,572039,75,210,27
234,444843,74,210,36
235,547982,74,200,30
236,571553,73,220,28
237,475253,76,220,31
238,570615,79,260,27
239,543308,74,230,29
240,571980,74,195,27
241,456781,70,205,30
242,519345,74,200,30
243,435064,72,230,35
244,606466,73,165,24
245,429666,73,200,36
246,572019,76,210,30
247,572233,72,220,27
248,502029,75,229,30
249,471083,71,221,35
250,542194,74,213,27
251,543305,73,202,29
252,499624,76,210,34
253,605512,72,210,28
254,430637,73,200,36
255,514888,66,165,28
256,621439,74,190,24
257,502082,74,190,30
258,456714,72,260,32
259,611177,69,205,33
260,594777,70,200,30
261,592808,69,192,26
262,598284,76,235,28
263,488721,73,175,31
264,407893,75,225,38
265,543685,73,200,28
266,465674,72,180,33
267,476633,73,220,30
268,608596,73,220,27
269,542994,74,220,32
270,606192,74,180,25
271,502210,74,195,31
272,425784,70,215,35
273,605204,75,225,25
274,620439,70,190,22
275,435062,71,220,35
276,518649,76,215,29
277,488771,75,215,31
278,501571,73,215,29
279,475247,75,220,32
280,519333,72,200,29
281,543742,76,225,31
282,489232,74,240,35
283,134181,71,220,39
284,543484,73,216,28
285,456665,71,200,35
286,607369,74,224,29
287,434158,73,200,37
288,605137,76,235,26
289,574847,74,220,29
290,571437,77,215,27
291,459431,76,225,31
292,571697,70,185,28
293,400121,74,235,39
294,643217,70,170,24
295,646240,72,237,21
296,666561,72,215,31
297,502188,77,240,33
298,461858,74,215,32
299,572122,72,210,30
300,489138,74,220,31
301,488671,71,210,31
302,518960,72,200,32
303,457775,74,210,31
304,425772,72,205,35
305,453056,73,195,35
306,500871,70,185,29
307,459964,74,205,34
308,547957,74,210,30
309,572008,70,185,27
310,472528,70,215,32
311,571448,74,205,27
312,503556,73,205,29
313,501896,74,220,35
314,545358,70,200,27
315,346874,72,245,39
316,431151,72,205,35
317,407781,72,245,41
318,576397,70,215,30
319,435522,75,210,33
320,592789,78,240,26
321,542583,75,250,28
322,451594,77,195,32
323,489305,72,215,31
324,595978,73,206,26
325,572138,74,230,27
326,446653,73,205,33
327,621446,75,195,24
328,434567,73,225,35
329,572180,73,215,28
330,462101,72,200,30
331,519025,75,220,30
332,543510,75,225,28
333,543063,74,227,31
334,502517,73,221,33
335,457763,73,210,31
336,596144,73,210,25
337,446308,77,235,32
338,592230,75,225,26
339,474832,76,235,30
340,572669,76,220,28
341,453923,70,187,34
342,465041,73,210,32
343,570560,71,185,26
344,457759,71,205,33
345,458731,71,195,35
346,547179,75,217,26
347,408314,72,195,35
348,571970,72,210,28
349,516809,74,230,28
350,408236,74,215,36
351,605125,73,205,28
352,543401,71,195,31
353,453562,76,225,32
354,641313,73,185,25
355,467827,71,210,31
356,591741,75,240,25
357,607054,72,215,28
358,500208,71,205,31
359,592261,69,200,26
360,400284,73,195,39
361,455976,73,210,34
362,456488,72,195,31
363,434658,70,195,37
364,570482,72,215,26
365,448605,73,210,36
366,408307,74,230,37
367,593647,74,205,26
368,430404,73,230,37
