,batter_id,height,weight,age,position,bats,throws
250,542194,"6' 2""",213,27,C,R,R
251,543305,"6' 1""",202,29,CF,S,R
252,499624,"6' 4""",210,34,1B,R,R
253,605512,"6' 0""",210,28,LF,L,L
254,430637,"6' 1""",200,36,2B,L,R
255,514888,"5' 6""",165,28,2B,R,R
256,621439,"6' 2""",190,24,CF,R,R
257,502082,"6' 2""",190,30,RF,L,R
258,456714,"6' 0""",260,32,DH,R,R
259,611177,"5' 9""",205,33,3B,R,R
260,594777,"5' 10""",200,30,RF,L,L
261,592808,"5' 9""",192,26,LF,L,R
262,598284,"6' 4""",235,28,LF,R,R
263,488721,"6' 1""",175,31,CF,R,R
264,407893,"6' 3""",225,38,1B,S,R
265,543685,"6' 1""",200,28,3B,R,R
266,465674,"6' 0""",180,33,2B,R,R
267,476633,"6' 1""",220,30,1B,L,L
268,608596,"6' 1""",220,27,C,R,R
269,542994,"6' 2""",220,32,LF,R,R
270,606192,"6' 2""",180,25,LF,R,R
271,502210,"6' 2""",195,31,RF,L,R
272,425784,"5' 10""",215,35,C,R,R
273,605204,"6' 3""",225,25,3B,R,R
274,620439,"5' 10""",190,22,2B,R,R
275,435062,"5' 11""",220,35,2B,R,R
276,518649,"6' 4""",215,29,CF,R,R
277,488771,"6' 3""",215,31,C,L,R
278,501571,"6' 1""",215,29,CF,R,R
279,475247,"6' 3""",220,32,3B,L,R
280,519333,"6' 0""",200,29,RF,R,R
281,543742,"6' 4""",225,31,1B,R,R
282,489232,"6' 2""",240,35,C,R,R
283,134181,"5' 11""",220,39,3B,R,R
284,543484,"6' 1""",216,28,CF,R,R
285,456665,"5' 11""",200,35,1B,R,R
286,607369,"6' 2""",224,29,RF,R,R
287,434158,"6' 1""",200,37,LF,L,R
288,605137,"6' 4""",235,26,1B,S,R
289,574847,"6' 2""",220,29,3B,R,R
290,571437,"6' 5""",215,27,CF,R,R
291,459431,"6' 4""",225,31,OF,L,R
292,571697,"5' 10""",185,28,2B,L,R
293,400121,"6' 2""",235,39,DH,S,R
294,643217,"5' 10""",170,24,LF,L,L
295,646240,"6' 0""",237,21,3B,L,R
296,666561,"6' 0""",215,31,3B,R,R
297,502188,"6' 5""",240,33,P,R,R
298,461858,"6' 2""",215,32,3B,R,R
299,572122,"6' 0""",210,30,3B,L,R
300,489138,"6' 2""",220,31,1B,R,R
301,488671,"5' 11""",210,31,C,L,R
302,518960,"6' 0""",200,32,C,R,R
303,457775,"6' 2""",210,31,CF,R,R
304,425772,"6' 0""",205,35,C,R,R
305,453056,"6' 1""",195,35,CF,L,L
306,500871,"5' 10""",185,29,3B,S,R
307,459964,"6' 2""",205,34,LF,L,R
308,547957,"6' 2""",210,30,RF,L,R
309,572008,"5' 10""",185,27,2B,R,R
310,472528,"5' 10""",215,32,3B,L,R
311,571448,"6' 2""",205,27,3B,R,R
312,503556,"6' 1""",205,29,LF,S,R
313,501896,"6' 2""",220,35,3B,R,R
314,545358,"5' 10""",200,27,C,R,R
315,346874,"6' 0""",245,39,SS,R,R
316,431151,"6' 0""",205,35,3B,R,R
317,407781,"6' 0""",245,41,CF,R,R
318,576397,"5' 10""",215,30,3B,R,R
319,435522,"6' 3""",210,33,1B,S,R
320,592789,"6' 6""",240,26,P,L,R
321,542583,"6' 3""",250,28,1B,R,R
322,451594,"6' 5""",195,32,RF,S,R
323,489305,"6' 0""",215,31,1B,R,R
324,595978,"6' 1""",206,26,C,R,R
325,572138,"6' 2""",230,27,1B,L,L
326,446653,"6' 1""",205,33,C,S,R
327,621446,"6' 3""",195,24,CF,R,R
328,434567,"6' 1""",225,35,C,R,R
329,572180,"6' 1""",215,28,C,R,R
330,462101,"6' 0""",200,30,SS,R,R
331,519025,"6' 3""",220,30,3B,R,R
332,543510,"6' 3""",225,28,C,R,R
333,543063,"6' 2""",227,31,SS,L,R
334,502517,"6' 1""",221,33,2B,L,R
335,457763,"6' 1""",210,31,C,R,R
336,596144,"6' 1""",210,25,3B,R,R
337,446308,"6' 5""",235,32,C,S,R
338,592230,"6' 3""",225,26,SS,S,R
339,474832,"6' 4""",235,30,1B,L,L
340,572669,"6' 4""",220,28,CF,R,R
341,453923,"5' 10""",187,34,CF,L,L
342,465041,"6' 1""",210,32,C,R,R
343,570560,"5' 11""",185,26,3B,S,R
344,457759,"5' 11""",205,33,3B,R,R
345,458731,"5' 11""",195,35,LF,L,L
346,547179,"6' 3""",217,26,P,R,R
347,408314,"6' 0""",195,35,3B,S,R
348,571970,"6' 0""",210,28,1B,L,R
349,516809,"6' 2""",230,28,OF,R,R
350,408236,"6' 2""",215,36,1B,L,L
351,605125,"6' 1""",205,28,OF,L,R
352,543401,"5' 11""",195,31,2B,L,R
353,453562,"6' 4""",225,32,P,R,R
354,641313,"6' 1""",185,25,SS,R,R
355,467827,"5' 11""",210,31,LF,L,L
356,591741,"6' 3""",240,25,3B,R,R
357,607054,"6' 0""",215,28,3B,L,R
358,500208,"5' 11""",205,31,3B,S,R
359,592261,"5' 9""",200,26,CF,R,R
360,400284,"6' 1""",195,39,2B,L,R
361,455976,"6' 1""",210,34,RF,L,L
362,456488,"6' 0""",195,31,2B,R,R
363,434658,"5' 10""",195,37,CF,R,R
364,570482,"6' 0""",215,26,3B,R,R
365,448605,"6' 1""",210,36,CF,R,R
366,408307,"6' 2""",230,37,LF,L,L
367,593647,"6' 2""",205,26,RF,L,L
368,430404,"6' 1""",230,37,LF,R,R
369,571745,"6' 2""",215,27,RF,R,R
370,434563,"5' 10""",215,39,C,R,R
371,493329,"6' 0""",190,34,1B,R,R
372,455139,"6' 1""",210,34,C,R,R
373,572821,"5' 11""",200,31,2B,R,R
374,430321,"6' 3""",240,33,RF,R,R
375,581527,"5' 9""",190,27,2B,R,R
376,621559,"5' 10""",185,25,SS,S,R
377,425560,"6' 2""",205,38,1B,L,L
378,624507,"6' 2""",221,24,3B,L,R
379,607223,"6' 4""",275,25,1B,L,L
380,491696,"6' 0""",200,30,C,R,R
381,642156,"6' 2""",220,26,C,R,R
382,544369,"6' 3""",205,28,SS,L,R
383,606115,"6' 0""",165,24,SS,R,R
384,593160,"6' 0""",195,29,2B,R,R
385,594809,"5' 9""",176,29,RF,L,L
386,116338,"6' 2""",220,43,CF,R,R
387,592200,"6' 3""",235,29,C,R,R
388,425796,"6' 4""",225,34,RF,R,R
389,501983,"6' 0""",235,30,RF,L,L
390,571718,"6' 0""",200,27,CF,L,R
391,425557,"6' 2""",220,37,2B,R,R
392,408252,"6' 0""",211,37,2B,R,R
393,608385,"6' 3""",215,25,RF,L,L
394,430611,"6' 6""",240,36,RF,R,R
395,605233,"6' 3""",205,25,CF,L,R
396,640447,"5' 10""",207,26,RF,R,R
397,408045,"6' 5""",225,35,1B,L,R
398,460026,"6' 0""",203,35,C,R,R
399,573131,"6' 3""",250,32,1B,R,R
400,519208,"6' 5""",240,33,1B,L,L
401,430001,"6' 0""",210,36,2B,R,R
402,607208,"6' 2""",185,25,SS,R,R
403,452104,"6' 2""",215,34,3B,S,R
404,592836,"6' 4""",235,26,P,R,R
405,500874,"6' 6""",215,30,1B,R,R
406,592621,"6' 0""",205,29,RF,R,R
407,446334,"6' 1""",215,32,3B,R,R
408,553993,"5' 11""",213,27,3B,R,R
409,518792,"6' 5""",240,29,RF,L,L
410,592663,"6' 1""",210,27,C,R,R
411,605141,"5' 9""",180,26,RF,R,R
412,517370,"6' 3""",200,29,RF,S,R
413,544925,"6' 2""",210,31,CF,L,L
414,605131,"5' 10""",190,28,C,R,R
415,518934,"6' 4""",215,30,2B,R,R
416,136860,"6' 1""",215,41,CF,S,R
417,516416,"5' 10""",205,28,SS,R,R
418,649557,"6' 1""",195,28,SS,R,R
419,449181,"6' 2""",215,32,CF,R,R
420,457803,"6' 3""",225,31,RF,L,L
421,542340,"6' 1""",215,27,2B,S,R
422,488810,"5' 11""",215,32,C,R,R
423,450317,"6' 1""",210,32,C,R,R
424,519390,"6' 0""",225,33,C,L,R
425,572114,"5' 9""",180,30,3B,L,R
426,519346,"6' 0""",210,31,1B,L,R
427,425509,"6' 2""",225,36,SS,R,R
428,523253,"6' 1""",205,31,2B,R,R
429,543038,"6' 2""",205,31,SS,R,R
430,460086,"6' 1""",225,34,LF,L,R
431,546991,"6' 2""",190,24,CF,R,R
